year,month,rate_type,exchange_rate_value,end_of_period_rate,period_average_rate
2011,9,"National Currency per US Dollar, Period average",74.6769,0,1
2011,9,"US Dollars per National Currency,Period average",0.0133910218554868,0,1
2011,10,"National Currency per US Dollar, End of period",76.1992,1,0
2011,10,"National Currency per US Dollar, Period average",75.741,0,1
2011,10,"US Dollars per National Currency,Period average",0.0132028887920677,0,1
2011,11,"National Currency per US Dollar, End of period",76.864,1,0
2011,11,"National Currency per US Dollar, Period average",76.5247,0,1
2011,11,"US Dollars per National Currency,Period average",0.0130676761882111,0,1
2011,12,"National Currency per US Dollar, End of period",81.8529,1,0
2011,12,"National Currency per US Dollar, Period average",79.6854,0,1
2011,12,"US Dollars per National Currency,Period average",0.0125493503201339,0,1
2012,1,"National Currency per US Dollar, End of period",84.4656,1,0
2012,1,"National Currency per US Dollar, Period average",83.4135,0,1
2012,1,"US Dollars per National Currency,Period average",0.0119884670946549,0,1
2012,2,"National Currency per US Dollar, End of period",81.7967,1,0
2012,2,"National Currency per US Dollar, Period average",83.1101,0,1
2012,2,"US Dollars per National Currency,Period average",0.0120322319429287,0,1
2012,3,"National Currency per US Dollar, End of period",81.829,1,0
2012,3,"National Currency per US Dollar, Period average",81.8008,0,1
2012,3,"US Dollars per National Currency,Period average",0.0122248193171705,0,1
2012,4,"National Currency per US Dollar, End of period",81.8914,1,0
2012,4,"National Currency per US Dollar, Period average",81.8299,0,1
2012,4,"US Dollars per National Currency,Period average",0.0122204719790688,0,1
2012,5,"National Currency per US Dollar, End of period",81.939,1,0
2012,5,"National Currency per US Dollar, Period average",81.8571,0,1
2012,5,"US Dollars per National Currency,Period average",0.0122164112825888,0,1
2012,6,"National Currency per US Dollar, End of period",81.8252,1,0
2012,6,"National Currency per US Dollar, Period average",81.8766,0,1
2012,6,"US Dollars per National Currency,Period average",0.0122135017819499,0,1
2012,7,"National Currency per US Dollar, End of period",81.7026,1,0
2012,7,"National Currency per US Dollar, Period average",81.7739,0,1
2012,7,"US Dollars per National Currency,Period average",0.0122288407425841,0,1
2012,8,"National Currency per US Dollar, End of period",81.7176,1,0
2012,8,"National Currency per US Dollar, Period average",81.5459,0,1
2012,8,"US Dollars per National Currency,Period average",0.0122630322309276,0,1
2012,9,"National Currency per US Dollar, End of period",81.5896,1,0
2012,9,"National Currency per US Dollar, Period average",81.7392,0,1
2012,9,"US Dollars per National Currency,Period average",0.0122340321412492,0,1
2012,10,"National Currency per US Dollar, End of period",81.2005,1,0
2012,10,"National Currency per US Dollar, Period average",81.3189,0,1
2012,10,"US Dollars per National Currency,Period average",0.0122972642276273,0,1
2012,11,"National Currency per US Dollar, End of period",81.6378,1,0
2012,11,"National Currency per US Dollar, Period average",81.4847,0,1
2012,11,"US Dollars per National Currency,Period average",0.0122722425191478,0,1
2012,12,"National Currency per US Dollar, End of period",79.8499,1,0
2012,12,"National Currency per US Dollar, Period average",80.6013,0,1
2012,12,"US Dollars per National Currency,Period average",0.0124067477819837,0,1
2013,1,"National Currency per US Dollar, End of period",79.2068,1,0
2013,1,"National Currency per US Dollar, Period average",79.5316,0,1
2013,1,"US Dollars per National Currency,Period average",0.0125736185365314,0,1
2013,2,"National Currency per US Dollar, End of period",78.85,1,0
2013,2,"National Currency per US Dollar, Period average",79.007,0,1
2013,2,"US Dollars per National Currency,Period average",0.0126571063323503,0,1
2013,3,"National Currency per US Dollar, End of period",78.1932,1,0
2013,3,"National Currency per US Dollar, Period average",78.5857,0,1
2013,3,"US Dollars per National Currency,Period average",0.0127249614115545,0,1
2013,4,"National Currency per US Dollar, End of period",77.9326,1,0
2013,4,"National Currency per US Dollar, Period average",78.0249,0,1
